50 737
30 25 21
2 23 63
1 41 95
17 20 44
2 3 37
43 41 27
46 1 59
2 35 64
37 38 21
42 12 41
21 19 21
44 0 55
41 1 96
6 9 58
13 14 2
39 23 62
0 9 65
41 28 83
16 37 94
40 11 17
48 33 17
32 21 76
12 24 31
35 10 38
44 17 19
1 5 98
16 47 91
14 31 35
26 41 57
14 12 2
46 23 85
39 14 51
40 29 11
1 1 44
29 46 55
40 48 58
23 47 22
48 37 57
25 39 4
4 46 14
32 25 89
23 47 36
29 35 96
47 6 58
10 34 55
29 45 34
44 11 41
3 45 7
41 40 88
25 40 93
48 43 12
32 19 40
27 15 30
4 46 56
32 32 19
41 11 25
22 34 14
30 48 63
24 48 30
37 6 57
29 40 96
31 19 11
19 24 51
6 11 0
10 2 98
26 26 40
4 0 79
30 44 25
35 38 18
15 46 12
47 38 59
37 15 24
35 25 81
16 46 48
12 32 75
20 17 7
27 0 53
21 8 65
15 20 19
38 47 45
42 7 85
5 43 48
8 17 30
45 44 85
47 10 22
42 3 83
16 8 0
25 30 11
23 36 3
3 39 67
27 29 39
29 19 44
45 43 5
20 31 23
30 48 62
33 41 8
33 30 24
15 19 88
4 5 41
21 28 10
44 27 49
20 37 1
29 13 41
25 36 17
34 19 2
17 12 33
4 35 1
44 0 84
37 44 23
6 9 45
15 25 46
0 37 23
17 42 50
11 17 76
21 16 15
15 29 65
36 42 33
43 22 44
47 46 65
48 14 36
23 41 20
3 48 85
27 42 98
35 19 55
21 2 40
22 25 61
4 34 20
21 45 16
11 12 48
24 23 66
44 27 18
39 38 5
8 32 24
6 26 9
8 15 80
41 31 22
17 44 28
28 23 96
8 28 13
6 40 71
17 24 66
41 11 67
7 3 68
35 30 97
2 30 79
48 1 90
22 2 38
1 47 66
37 5 38
43 2 91
33 43 71
29 5 13
30 1 67
38 18 81
35 16 81
27 44 97
40 5 65
42 29 49
0 11 47
2 36 19
12 8 27
47 22 44
6 5 45
48 30 77
6 1 1
39 16 46
11 47 37
5 33 17
32 2 70
48 0 85
0 46 0
12 40 92
38 9 58
29 38 95
10 46 56
13 6 18
27 0 66
27 11 41
31 6 52
33 48 74
26 17 37
33 47 69
30 46 23
27 19 31
13 12 91
18 7 3
7 8 71
14 34 20
17 29 77
23 1 34
25 25 17
41 43 50
7 12 59
29 3 28
44 42 90
26 5 30
2 37 2
1 19 7
41 9 84
9 34 39
48 38 55
43 0 47
12 17 71
43 26 45
5 0 6
46 40 67
24 19 0
7 38 80
33 44 50
4 34 7
40 33 56
15 31 95
41 41 35
23 26 92
1 1 30
43 41 31
13 29 54
22 19 85
35 27 12
36 34 7
9 12 76
26 38 78
40 30 66
45 39 94
42 9 4
14 27 23
40 12 2
45 25 98
6 46 15
3 28 42
11 40 18
48 40 74
12 4 72
13 20 9
13 35 46
26 35 53
36 18 76
43 0 42
46 43 94
17 40 54
46 0 91
0 39 25
20 14 26
6 40 22
43 23 79
21 4 17
2 43 90
36 20 68
48 34 89
21 25 12
7 17 20
48 35 36
30 45 0
0 30 18
7 22 19
9 43 86
7 16 89
10 42 63
35 1 98
10 23 4
25 30 88
25 2 15
19 9 23
6 15 45
34 41 5
9 29 14
0 48 61
4 32 84
38 6 25
36 23 14
24 1 37
18 10 77
30 36 95
26 40 12
47 16 20
11 36 23
45 45 93
44 30 29
36 32 93
4 26 0
23 20 30
38 27 82
35 24 34
6 21 56
8 47 24
36 9 58
38 6 63
9 3 77
37 23 52
47 32 40
13 43 57
29 12 31
2 26 94
23 44 54
27 35 12
35 42 34
36 45 78
23 36 61
24 41 98
40 31 20
39 10 98
18 31 89
35 35 91
10 43 50
44 17 99
44 8 41
5 41 81
17 27 54
25 12 70
2 19 36
46 13 29
17 33 46
39 8 75
34 37 71
18 18 67
3 4 71
23 35 17
10 20 13
6 19 81
13 42 89
32 38 61
24 46 13
31 27 54
12 4 11
35 7 87
24 39 10
18 14 60
14 13 24
15 1 21
30 47 44
30 6 55
37 40 44
8 45 84
24 6 30
4 0 29
17 13 0
5 36 79
42 37 74
42 40 53
45 34 3
11 43 21
42 18 60
14 34 10
6 33 49
44 21 14
41 14 77
46 27 63
34 8 35
18 17 61
47 7 4
26 31 63
41 2 14
1 16 93
35 1 40
39 36 41
26 4 91
2 22 94
18 25 80
5 17 1
42 11 89
18 4 44
1 11 30
13 44 21
40 23 67
27 29 22
28 37 52
17 7 0
9 47 18
8 11 80
35 5 10
26 35 4
23 41 59
18 38 89
27 0 58
19 44 35
27 27 46
46 20 63
4 21 41
34 37 72
22 22 34
37 8 24
48 11 16
28 3 1
43 15 10
34 11 24
29 28 69
20 42 32
3 16 7
34 0 36
24 12 87
14 18 62
37 7 9
6 18 5
40 31 83
19 33 9
35 43 99
3 10 82
26 7 60
14 27 88
13 40 64
34 23 50
45 47 89
37 32 77
28 16 13
5 39 63
16 28 12
40 27 88
8 15 76
42 43 70
1 10 97
10 10 91
29 8 62
21 33 45
29 24 31
16 20 8
32 11 54
13 2 60
35 13 88
3 46 17
23 33 90
4 10 75
9 30 57
34 41 1
46 22 96
32 30 29
9 32 77
9 22 65
41 8 71
0 48 39
34 36 26
39 17 34
1 17 32
5 24 59
7 29 86
23 26 8
31 28 78
21 11 41
36 21 9
40 14 38
10 33 42
44 26 36
7 40 65
35 8 16
18 46 65
23 44 95
46 32 43
16 24 52
13 43 65
23 38 73
8 17 21
13 42 67
44 45 6
24 11 12
10 0 5
9 45 13
45 14 67
48 27 68
14 15 61
31 42 16
21 1 41
39 10 4
15 11 42
40 37 73
20 11 31
22 5 39
